date,close,volume,open,high,low
2/22/2018,211.7,702929,216.97,218.58,211.09
2/21/2018,216.11,311822,215.91,218.32,215.495
2/20/2018,216,348949,214.73,216.98,213.17
2/16/2018,216.04,364912,213.69,217.755,213.41
2/15/2018,214.2,332813,213.75,214.49,210.75
2/14/2018,212.29,337467,211.12,214.26,210.82
2/13/2018,212.51,287054,209.88,212.73,209.45
2/12/2018,210.75,448226,207.43,211.08,207.27
2/9/2018,205.97,468159,207.47,209.49,200.68
2/8/2018,206.07,412811,213.95,214.73,206
2/7/2018,214.25,321182,212.11,215.69,211.8442
2/6/2018,211.94,593219,208.21,215.04,208
2/5/2018,212.62,400888,216.07,218.32,211.325
2/2/2018,217.98,282093,223.28,224.46,217.67
2/1/2018,224.54,548275,219.1,225.2,218.5499
1/31/2018,218.56,528648,223.09,223.09,217.28
1/30/2018,221.77,459744,223.5,224.24,220.29
1/29/2018,225.06,526435,228.74,229.66,223.59
1/26/2018,229.88,523727,234.47,234.665,228.9
1/25/2018,233.62,481575,234,235.99,233.01
1/24/2018,232.65,343366,233.95,234.44,230.56
1/23/2018,233.12,427373,231.07,234.9,230.962
1/22/2018,231.74,651407,231.84,234.28,230.59
1/19/2018,231.46,560121,225.61,231.67,224.79
1/18/2018,224.81,613399,223.68,224.85,223.16
1/17/2018,225.1,750659,222.84,225.2,222.3
1/16/2018,222.16,1039021,222.72,226.07,220.45
1/12/2018,222.31,1436370,214.5,223.17,214.14
1/11/2018,218.94,1003459,214.05,220,213.62
1/10/2018,213.51,787835,212.36,214.1,210.25
1/9/2018,213.32,953964,205.63,214.48,205.06
1/8/2018,205.66,551060,206.97,207.17,204.86
1/5/2018,207.27,553824,208.64,209.03,205.38
1/4/2018,209.03,634795,213.89,213.89,207.89
1/3/2018,212.59,1024685,212.23,212.59,209
1/2/2018,210.45,1060630,213.41,213.57,206.583
12/29/2017,212.47,345399,215.28,215.28,212.29
12/28/2017,214.76,634379,214.28,215.03,212
12/27/2017,213.83,629324,215.03,215.78,210.8
12/26/2017,215,407213,213.87,216.36,213.87
12/22/2017,215.17,647993,217.02,217.3212,214.72
12/21/2017,215.63,906973,217.12,217.719,213.155
12/20/2017,216.99,379934,219,219.2542,216.9
12/19/2017,219.26,436679,223.24,224.01,218.97
12/18/2017,221.99,557991,221.02,222.25,218.54
12/15/2017,219.84,549636,219.23,220.8225,217.395
12/14/2017,218.61,331370,221.22,221.9,218.32
12/13/2017,220.78,385856,219.5,221.46,217.35
12/12/2017,218.43,376199,224.69,224.9,218.2
12/11/2017,224.62,521921,225.01,226.59,220.4
12/8/2017,225.49,753689,227.5,227.57,221.33
12/7/2017,225.5,893027,220,234.08,219.45
12/6/2017,221.18,582811,222.96,223.56,220.4
12/5/2017,223.43,381968,220.9,224.13,220.871
12/4/2017,220.86,419147,225.06,225.71,220.6896
12/1/2017,223.71,357176,225.36,227.075,221.06
11/30/2017,225.16,648329,224.98,226.96,222.12
11/29/2017,223.83,361126,225.94,227.34,223.6
11/28/2017,226.04,371395,228.43,228.93,224.74
11/27/2017,227.3,272867,230.98,231.73,227.13
11/24/2017,232.04,107598,230.5,232.11,230.07
11/22/2017,230.01,211353,229.84,230.45,229.03
11/21/2017,229.93,198066,229.3,230.845,229.07
11/20/2017,228.49,218696,230.26,231.24,228.46
11/17/2017,230.41,267736,227.96,230.67,227.3
11/16/2017,228.57,386535,227.73,229.77,225.71
11/15/2017,226.97,270602,228.8,228.82,226.56
11/14/2017,229.73,317279,229.08,230.89,227.46
11/13/2017,229.33,293386,231.11,232.39,229.171
11/10/2017,232.04,192565,233.17,234.605,231.931
11/9/2017,232.58,176723,233.34,234.41,231.62
11/8/2017,234.89,214557,235.75,236.58,233.32
11/7/2017,235.74,183682,236.54,237.77,234.73
11/6/2017,236.71,302062,235.59,236.86,234.87
11/3/2017,235.62,238593,232.38,235.99,231.35
11/2/2017,231.8,232339,230.73,233.77,230.73
11/1/2017,230.47,182303,230.42,232.47,229.66
10/31/2017,229.02,225132,226.97,230.29,226.68
10/30/2017,226.37,170878,227.4,227.85,224.5
10/27/2017,227.32,185991,226.21,227.93,224.61
10/26/2017,225.71,194711,226.72,226.91,225.08
10/25/2017,225.67,254066,226.61,226.67,224.335
10/24/2017,226.77,341854,229.64,229.82,226.52
10/23/2017,229.24,317982,228.8,229.41,228.3
10/20/2017,228.51,532801,223,228.65,222.18
10/19/2017,222.5,467127,221.4,222.62,219.42
10/18/2017,221.8,330507,219.05,222.91,218.01
10/17/2017,218.99,272697,216.59,219.13,216.21
10/16/2017,216.42,401404,217.11,217.2,215.58
10/13/2017,217.44,181977,217.83,218.11,216.63
10/12/2017,216.97,249741,215.93,217.79,215.93
10/11/2017,216.35,205119,215.5,216.77,215.39
10/10/2017,215.8,280573,216.29,217.28,215.66
10/9/2017,216.56,237884,217.35,217.54,215.485
10/6/2017,217.65,568600,214.87,217.68,213.78
10/5/2017,216.49,428655,220.29,220.5499,216.14
10/4/2017,220.5,314384,222.64,222.64,219.895
10/3/2017,221.61,305070,222.09,223.38,220.35
10/2/2017,221.95,365223,229,229,221.44
9/29/2017,228.12,547205,222.4,228.75,221.03
9/28/2017,221.79,1028814,226.5,227.53,218.14
9/27/2017,228.04,528866,226.72,229.19,226.32
9/26/2017,224.99,510167,229.81,229.905,224.97
9/25/2017,229.12,228394,232.28,232.71,228.5
9/22/2017,232.28,213241,229.14,232.42,229.14
9/21/2017,229.76,243975,229.02,230.015,227.715
9/20/2017,228.98,164103,230.37,231,228.81
9/19/2017,230.03,262632,229,230.319,228.63
9/18/2017,228.28,195390,227.55,229.475,227.08
9/15/2017,227.04,306902,228.47,228.73,226.76
9/14/2017,228.52,187280,229.4,229.4,228.08
9/13/2017,229.87,177929,230.25,230.75,228.85
9/12/2017,230.47,208734,230.77,232.38,229.76
9/11/2017,230.38,260006,229.34,231.9,229.34
9/8/2017,227.73,191533,225.91,229.16,225.312
9/7/2017,225.75,156578,227.19,227.385,225.02
9/6/2017,226.3,183367,226.85,227.4,225.64
9/5/2017,226.35,233995,227.98,228.57,224.38
9/1/2017,228.39,187675,228.32,230,227.02
8/31/2017,227.95,277958,224.68,228.16,223.86
8/30/2017,223.82,341291,219.48,224.35,219.48
8/29/2017,219.41,198009,217.66,219.95,217.66
8/28/2017,218.65,381988,222.25,222.7699,217.41
8/25/2017,221.73,154488,221.32,222.5,220.935
8/24/2017,220.78,183344,223.16,223.16,220.5
8/23/2017,221.98,198800,221.93,223.43,221.46
